2026-08-19T00:35:16.404 [DEBUG] desktop_shell::map_webview: map_webview: 开始异步创建 WebView（page=BlockPreview, generation=4, 上报状态=true）
2026-08-19T00:35:16.610 [DEBUG] desktop_shell::map_webview: map_webview: notify_status(page=BlockPreview, generation=4, available=true)
2026-08-19T00:36:26.746 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:28.749 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:30.752 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:32.755 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:34.757 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:36.761 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:38.763 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:40.766 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:42.769 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:44.772 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:46.775 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:48.777 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:50.781 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:52.783 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:54.786 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:56.805 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:59.057 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:36:59.823 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_loaded","payload":{"blocks":918232,"quads":6,"simplified":false}}
2026-08-19T00:37:00.794 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":67,"blocks":918232,"quads":6}}
2026-08-19T00:37:02.797 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:04.800 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:06.803 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:08.806 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":918232,"quads":6}}
2026-08-19T00:37:10.809 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":160,"blocks":918232,"quads":6}}
